page_slug,primary_cta_text,lead_value_tier,affiliate_category,high_commercial_intent
equipment-financing-bryan,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-college-station,Get Pre-Approved Today,Low,General Business Equipment,FALSE
equipment-financing-temple,Apply in 60 Seconds,Medium,Medical & Dental,FALSE
equipment-financing-flower-mound,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-north-richland-hills,Get Pre-Approved Today,Medium,Medical & Dental,FALSE
equipment-financing-cedar-park,Get Financing Now,Low,General Business Equipment,FALSE
equipment-financing-pflugerville,Get Pre-Approved Today,Low,General Business Equipment,FALSE
equipment-financing-georgetown,Get Financing Now,Medium,Medical & Dental,FALSE
equipment-financing-victoria,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-conroe,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-mansfield,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-rowlett,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-wylie,Get Pre-Approved Today,Low,General Business Equipment,FALSE
equipment-financing-euless,Check Your Rate,Medium,Commercial Vehicles,FALSE
equipment-financing-desoto,Apply in 60 Seconds,Medium,Medical & Dental,FALSE
equipment-financing-grapevine,Apply in 60 Seconds,Medium,Commercial Vehicles,FALSE
equipment-financing-galveston,Check Your Rate,Medium,Commercial Vehicles,FALSE
equipment-financing-cedar-hill,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-texas-city,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-huntsville,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-lufkin,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-nacogdoches,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-sherman,Get Pre-Approved Today,Low,General Business Equipment,FALSE
equipment-financing-wichita-falls,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-del-rio,Apply in 60 Seconds,Medium,Commercial Vehicles,FALSE
equipment-financing-eagle-pass,Get Pre-Approved Today,Medium,Commercial Vehicles,FALSE
equipment-financing-weslaco,Apply in 60 Seconds,Low,Agricultural,FALSE
equipment-financing-hurst,Check Your Rate,Medium,Medical & Dental,FALSE
equipment-financing-burleson,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-bedford,Check Your Rate,Medium,Medical & Dental,FALSE
equipment-financing-cleburne,Get Financing Now,Low,Agricultural,FALSE
equipment-financing-weatherford,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-stephenville,Apply in 60 Seconds,Low,Agricultural,FALSE
equipment-financing-mineral-wells,Get Financing Now,Low,Restaurant & Food Service,FALSE
equipment-financing-greenville,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-paris,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-corsicana,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-ennis,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-waxahachie,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-terrell,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-rockwall,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-forney,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-midlothian,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-denison,Get Financing Now,Medium,Medical & Dental,FALSE
equipment-financing-gainesville,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-bonham,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-mount-pleasant,Get Financing Now,Low,Agricultural,FALSE
equipment-financing-marshall,Get Pre-Approved Today,Low,General Business Equipment,FALSE
equipment-financing-jacksonville,Get Financing Now,Low,Agricultural,FALSE
equipment-financing-palestine,Get Pre-Approved Today,Low,Restaurant & Food Service,FALSE
equipment-financing-henderson,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-sulphur-springs,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-jasper,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-center,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-crockett,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-livingston,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-bay-city,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-port-arthur,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-orange,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-port-lavaca,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-freeport,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-angleton,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-lake-jackson,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-pasadena,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-baytown,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-missouri-city,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-rosenberg,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-richmond,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-humble,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-katy,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-tomball,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-deer-park,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-la-porte,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-friendswood,Get Pre-Approved Today,Medium,Commercial Vehicles,FALSE
equipment-financing-dickinson,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-alvin,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-seguin,Get Financing Now,Low,Agricultural,FALSE
equipment-financing-lockhart,Get Financing Now,Low,Restaurant & Food Service,FALSE
equipment-financing-bastrop,Get Pre-Approved Today,Low,Restaurant & Food Service,FALSE
equipment-financing-marble-falls,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-burnet,Get Financing Now,Low,Restaurant & Food Service,FALSE
equipment-financing-lampasas,Get Financing Now,Low,Agricultural,FALSE
equipment-financing-copperas-cove,Get Pre-Approved Today,Low,General Business Equipment,FALSE
equipment-financing-gatesville,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-belton,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-taylor,Get Financing Now,Low,General Business Equipment,FALSE
equipment-financing-hutto,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-kyle,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-buda,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-dripping-springs,Apply in 60 Seconds,Low,Restaurant & Food Service,FALSE
equipment-financing-fredericksburg,Get Financing Now,Low,Restaurant & Food Service,FALSE
equipment-financing-kerrville,Apply in 60 Seconds,Medium,Medical & Dental,FALSE
equipment-financing-boerne,Check Your Rate,Low,Restaurant & Food Service,FALSE
equipment-financing-uvalde,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-hondo,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-pearsall,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-crystal-city,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-carrizo-springs,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-pleasanton,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-floresville,Apply in 60 Seconds,Low,Agricultural,FALSE
equipment-financing-gonzales,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-cuero,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-yoakum,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-edna,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-el-campo,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-wharton,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-columbus,Get Pre-Approved Today,Low,Restaurant & Food Service,FALSE
equipment-financing-la-grange,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-brenham,Get Pre-Approved Today,Low,Restaurant & Food Service,FALSE
equipment-financing-navasota,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-madisonville,Get Financing Now,Low,Agricultural,FALSE
equipment-financing-hearne,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-cameron,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-marlin,Get Financing Now,Medium,Medical & Dental,FALSE
equipment-financing-hillsboro,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-mexia,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-groesbeck,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-sweetwater,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-snyder,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-big-spring,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-pecos,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-monahans,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-fort-stockton,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-alpine,Get Financing Now,Low,Restaurant & Food Service,FALSE
equipment-financing-marfa,Apply in 60 Seconds,Low,Restaurant & Food Service,FALSE
equipment-financing-van-horn,Apply in 60 Seconds,Low,Agricultural,FALSE
equipment-financing-andrews,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-seminole,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-lamesa,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-levelland,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-brownfield,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-plainview,Check Your Rate,Low,Restaurant & Food Service,FALSE
equipment-financing-hereford,Get Financing Now,Low,General Business Equipment,FALSE
equipment-financing-pampa,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-borger,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-dumas,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-perryton,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-dalhart,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-canyon,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-childress,Apply in 60 Seconds,Low,Agricultural,FALSE
equipment-financing-vernon,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-graham,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-breckenridge,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-brownwood,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-brady,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-mason,Apply in 60 Seconds,Low,Restaurant & Food Service,FALSE
equipment-financing-llano,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-san-saba,Apply in 60 Seconds,Low,Agricultural,FALSE
equipment-financing-goldthwaite,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-comanche,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-dublin,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-alice,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-kingsville,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-beeville,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-sinton,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-robstown,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-portland,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-aransas-pass,Apply in 60 Seconds,Low,Restaurant & Food Service,FALSE
equipment-financing-rockport,Get Pre-Approved Today,Low,Restaurant & Food Service,FALSE
equipment-financing-port-isabel,Get Financing Now,Low,Restaurant & Food Service,FALSE
equipment-financing-los-fresnos,Get Financing Now,Low,Agricultural,FALSE
equipment-financing-san-benito,Get Pre-Approved Today,Low,Restaurant & Food Service,FALSE
equipment-financing-mercedes,Get Pre-Approved Today,Low,Restaurant & Food Service,FALSE
equipment-financing-donna,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-la-feria,Apply in 60 Seconds,Low,Agricultural,FALSE
equipment-financing-rio-grande-city,Get Financing Now,Medium,Commercial Vehicles,FALSE
equipment-financing-roma,Get Financing Now,Medium,Commercial Vehicles,FALSE
equipment-financing-zapata,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-hebbronville,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-falfurrias,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-george-west,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-cotulla,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-refugio,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-goliad,Apply in 60 Seconds,Low,Restaurant & Food Service,FALSE
equipment-financing-hallettsville,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-schulenburg,Apply in 60 Seconds,Low,Agricultural,FALSE
equipment-financing-giddings,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-smithville,Get Pre-Approved Today,Low,Restaurant & Food Service,FALSE
equipment-financing-elgin,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-manor,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-leander,Apply in 60 Seconds,Low,General Business Equipment,FALSE
equipment-financing-liberty-hill,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-jarrell,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-salado,Get Financing Now,Low,Restaurant & Food Service,FALSE
equipment-financing-harker-heights,Check Your Rate,Low,General Business Equipment,FALSE
equipment-financing-granbury,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-glen-rose,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-decatur,Apply in 60 Seconds,Medium,Heavy Equipment,FALSE
equipment-financing-bridgeport,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-bowie,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-jacksboro,Get Financing Now,Medium,Heavy Equipment,FALSE
equipment-financing-seymour,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-stamford,Apply in 60 Seconds,Low,Agricultural,FALSE
equipment-financing-haskell,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-coleman,Get Pre-Approved Today,Low,Agricultural,FALSE
equipment-financing-ballinger,Check Your Rate,Low,Agricultural,FALSE
equipment-financing-sonora,Check Your Rate,Medium,Heavy Equipment,FALSE
equipment-financing-ozona,Get Pre-Approved Today,Medium,Heavy Equipment,FALSE
equipment-financing-junction,Get Financing Now,Low,Restaurant & Food Service,FALSE
equipment-financing-bandera,Apply in 60 Seconds,Low,Restaurant & Food Service,FALSE
equipment-financing-wimberley,Get Pre-Approved Today,Low,Restaurant & Food Service,FALSE
equipment-financing-johnson-city,Check Your Rate,Low,Restaurant & Food Service,FALSE
